,Home_Team,Away_Team,Winner
0,South Africa,West Indies,West Indies
1,New Zealand,Sri Lanka,Sri Lanka
2,Zimbabwe,Namibia,Zimbabwe
3,Australia,Pakistan,Australia
4,Bangladesh,Canada,Canada
5,South Africa,Kenya,South Africa
6,India,Netherlands,India
7,West Indies,New Zealand,New Zealand
8,Zimbabwe,England,Zimbabwe
9,Sri Lanka,Bangladesh,Sri Lanka
10,Kenya,Canada,Kenya
11,Australia,India,Australia
12,South Africa,New Zealand,New Zealand
13,England,Netherlands,England
14,Pakistan,Namibia,Pakistan
15,West Indies,Bangladesh,result
16,England,Namibia,England
17,Sri Lanka,Canada,Sri Lanka
18,Zimbabwe,India,India
19,Australia,Netherlands,Australia
20,New Zealand,Kenya,Kenya
21,England,Pakistan,England
22,South Africa,Bangladesh,South Africa
23,West Indies,Canada,West Indies
24,India,Namibia,India
25,Zimbabwe,Australia,Australia
26,Sri Lanka,Kenya,Kenya
27,Pakistan,Netherlands,Pakistan
28,England,India,India
29,New Zealand,Bangladesh,New Zealand
30,South Africa,Canada,South Africa
31,Australia,Namibia,Australia
32,Sri Lanka,West Indies,Sri Lanka
33,Zimbabwe,Netherlands,Zimbabwe
34,Kenya,Bangladesh,Kenya
35,Pakistan,India,India
36,Australia,England,Australia
37,New Zealand,Canada,New Zealand
38,South Africa,Sri Lanka,tied
39,Namibia,Netherlands,Netherlands
40,West Indies,Kenya,West Indies
41,Zimbabwe,Pakistan,result
42,Australia,Sri Lanka,Australia
43,India,Kenya,India
44,Zimbabwe,New Zealand,New Zealand
45,India,Sri Lanka,India
46,Australia,New Zealand,Australia
47,Zimbabwe,Kenya,Kenya
