,Home_Team,Away_Team,Winner
0,New Zealand,Sri Lanka,New Zealand
1,Australia,England,Australia
2,South Africa,Zimbabwe,South Africa
3,India,Pakistan,India
4,Ireland,West Indies,Ireland
5,New Zealand,Scotland,New Zealand
6,Afghanistan,Bangladesh,Bangladesh
7,United Arab Emirates,Zimbabwe,Zimbabwe
8,New Zealand,England,New Zealand
9,Pakistan,West Indies,West Indies
10,Australia,Bangladesh,abandoned
11,Afghanistan,Sri Lanka,Sri Lanka
12,India,South Africa,India
13,England,Scotland,England
14,West Indies,Zimbabwe,West Indies
15,Ireland,United Arab Emirates,Ireland
16,Afghanistan,Scotland,Afghanistan
17,Bangladesh,Sri Lanka,Sri Lanka
18,South Africa,West Indies,South Africa
19,New Zealand,Australia,New Zealand
20,India,United Arab Emirates,India
21,England,Sri Lanka,Sri Lanka
22,Pakistan,Zimbabwe,Pakistan
23,Ireland,South Africa,South Africa
24,Pakistan,United Arab Emirates,Pakistan
25,Australia,Afghanistan,Australia
26,Bangladesh,Scotland,Bangladesh
27,India,West Indies,India
28,Pakistan,South Africa,Pakistan
29,Ireland,Zimbabwe,Ireland
30,New Zealand,Afghanistan,New Zealand
31,Australia,Sri Lanka,Australia
32,Bangladesh,England,Bangladesh
33,India,Ireland,India
34,Scotland,Sri Lanka,Sri Lanka
35,South Africa,United Arab Emirates,South Africa
36,New Zealand,Bangladesh,New Zealand
37,Afghanistan,England,England
38,India,Zimbabwe,India
39,Australia,Scotland,Australia
40,United Arab Emirates,West Indies,West Indies
41,Ireland,Pakistan,Pakistan
42,South Africa,Sri Lanka,South Africa
43,Bangladesh,India,India
44,Australia,Pakistan,Australia
45,New Zealand,West Indies,New Zealand
46,New Zealand,South Africa,New Zealand
47,Australia,India,Australia
