,Home_Team,Away_Team,Winner
0,Bangladesh,India,India
1,Kenya,New Zealand,New Zealand
2,Sri Lanka,Canada,Sri Lanka
3,Australia,Zimbabwe,Australia
4,England,Netherlands,England
5,Kenya,Pakistan,Pakistan
6,South Africa,West Indies,South Africa
7,Australia,New Zealand,Australia
8,Bangladesh,Ireland,Bangladesh
9,Sri Lanka,Pakistan,Pakistan
10,India,England,tied
11,Canada,Zimbabwe,Zimbabwe
12,Netherlands,West Indies,West Indies
13,Sri Lanka,Kenya,Sri Lanka
14,England,Ireland,Ireland
15,Netherlands,South Africa,South Africa
16,Canada,Pakistan,Pakistan
17,New Zealand,Zimbabwe,New Zealand
18,Bangladesh,West Indies,West Indies
19,Sri Lanka,Australia,result
20,England,South Africa,England
21,India,Ireland,India
22,Canada,Kenya,Canada
23,New Zealand,Pakistan,New Zealand
24,India,Netherlands,India
25,Sri Lanka,Zimbabwe,Sri Lanka
26,Ireland,West Indies,West Indies
27,Bangladesh,England,Bangladesh
28,India,South Africa,South Africa
29,Canada,New Zealand,New Zealand
30,Australia,Kenya,Australia
31,Bangladesh,Netherlands,Bangladesh
32,Pakistan,Zimbabwe,Pakistan
33,Ireland,South Africa,South Africa
34,Australia,Canada,Australia
35,England,West Indies,England
36,Ireland,Netherlands,Ireland
37,New Zealand,Sri Lanka,Sri Lanka
38,Bangladesh,South Africa,South Africa
39,Australia,Pakistan,Pakistan
40,Kenya,Zimbabwe,Zimbabwe
41,India,West Indies,India
42,Pakistan,West Indies,Pakistan
43,India,Australia,India
44,New Zealand,South Africa,New Zealand
45,Sri Lanka,England,Sri Lanka
46,Sri Lanka,New Zealand,Sri Lanka
47,India,Pakistan,India
